name,area,patents,affinity
 , , , 
Netflix Inc,Transmission of Digital Information,125,1
Netflix Inc,Electric Digital Data Processing,44,1
Netflix Inc,Information Storage,4,1
Netflix Inc,Recognition of Data,6,1
Microsoft,Transmission of Digital Information,9793,0.67
Microsoft,Electric Digital Data Processing,24672,0.67
Microsoft,Information Storage,294,0.67
Microsoft,Recognition of Data,1019,0.67
Apple Inc,Transmission of Digital Information,4167,0.57
Apple Inc,Electric Digital Data Processing,8373,0.57
Apple Inc,Information Storage,300,0.57
Apple Inc,Recognition of Data,368,0.57
Nokia USA,Transmission of Digital Information,1049,0.24
Nokia USA,Electric Digital Data Processing,224,0.24
Nokia USA,Information Storage,0,0.24
Nokia USA,Recognition of Data,0,0.24
Roku,Transmission of Digital Information,14,1
Roku,Electric Digital Data Processing,8,1
Roku,Information Storage,7,1
Roku,Recognition of Data,9,1
